Country or Area,Year,Sex,Reliability,Total,Urban,Urban Rate
Angola,2020,Both Sexes,"Final figure, incomplete/questionable reliability",31127674.0,19716302.0,0.6334010694149521
Angola,2021,Both Sexes,"Final figure, incomplete/questionable reliability",32097671.0,20351231.0,0.6340407377220609
Angola,2022,Both Sexes,"Final figure, incomplete/questionable reliability",33086278.0,20992418.0,0.6344750533740906
Anguilla,2016,Both Sexes,"Final figure, complete",15083.53,,
Anguilla,2019,Both Sexes,"Final figure, complete",15602.0,,
Anguilla,2020,Both Sexes,"Final figure, complete",15500.0,,
Anguilla,2021,Both Sexes,"Final figure, complete",15701.0,,
Antigua and Barbuda,2016,Both Sexes,"Final figure, complete",92157.0,,
Antigua and Barbuda,2017,Both Sexes,"Final figure, complete",93581.0,,
Antigua and Barbuda,2018,Both Sexes,"Final figure, complete",95014.0,,
Antigua and Barbuda,2019,Both Sexes,"Final figure, complete",96453.0,,
Antigua and Barbuda,2020,Both Sexes,"Final figure, complete",97895.0,,
Antigua and Barbuda,2021,Both Sexes,"Final figure, complete",99337.0,,
Argentina,2016,Both Sexes,"Final figure, complete",43590368.0,39951022.0,0.9165103171416218
Argentina,2017,Both Sexes,"Final figure, complete",44044811.0,40410715.0,0.9174909389439768
Argentina,2018,Both Sexes,"Final figure, complete",44494502.0,40866408.0,0.9184597234058266
Argentina,2019,Both Sexes,"Final figure, complete",44938712.0,41317551.0,0.9194200091894045
Argentina,2020,Both Sexes,"Final figure, complete",45376763.0,41763619.0,0.9203745758594548
Argentina,2021,Both Sexes,"Final figure, complete",45808747.0,42204737.0,0.9213248509067493
Argentina,2022,Both Sexes,"Final figure, complete",46234830.0,42641052.0,0.9222711968444569
Armenia,2016,Both Sexes,"Final figure, complete",2992364.0,1904230.0,0.6363630895171845
Armenia,2017,Both Sexes,"Final figure, complete",2982796.5,1898630.0,0.6365268297719942
Armenia,2018,Both Sexes,"Final figure, complete",2970866.5,1895362.0,0.6379828915233989
Armenia,2019,Both Sexes,"Final figure, complete",2963875.5,1893502.0,0.6388601680468697
Armenia,2020,Both Sexes,"Final figure, complete",2960586.5,1892960.5,0.6393869930839717
Armenia,2021,Both Sexes,"Final figure, complete",2963251.0,1895600.0,0.639702812890302
Armenia,2022,Both Sexes,Provisional figure,2969100.0,,
Aruba,2016,Both Sexes,"Final figure, complete",108727.203042163,,
Aruba,2017,Both Sexes,"Final figure, complete",108734.844335924,,
Aruba,2018,Both Sexes,"Final figure, complete",108907.695186054,,
Aruba,2019,Both Sexes,"Final figure, complete",109202.61338405,,
Aruba,2020,Both Sexes,"Final figure, complete",108376.000639152,,
Aruba,2021,Both Sexes,"Final figure, complete",107694.824908751,,
Australia,2016,Both Sexes,"Final figure, complete",23770073.333333332,21226165.666666668,0.892978552022417
Australia,2017,Both Sexes,"Final figure, complete",24594202.0,21415391.0,0.870749577481717
Australia,2018,Both Sexes,"Final figure, complete",24966643.0,21764889.0,0.8717587302385827
Australia,2019,Both Sexes,"Final figure, complete",25340217.0,22114146.0,0.8726896853330025
Australia,2020,Both Sexes,"Final figure, complete",25655289.0,22401537.0,0.8731742215026305
Australia,2021,Both Sexes,"Final figure, complete",25688079.0,22406626.0,0.8722577503751837
Australia,2022,Both Sexes,Provisional figure,25978935.0,,
Austria,2016,Both Sexes,"Final figure, complete",8714941.0,,
Austria,2017,Both Sexes,"Final figure, complete",8783969.0,,
Austria,2018,Both Sexes,"Final figure, complete",8829987.0,,
Austria,2019,Both Sexes,"Final figure, complete",8869347.25,,
Austria,2020,Both Sexes,"Final figure, complete",8901064.0,,
Austria,2021,Both Sexes,"Final figure, complete",8932664.0,,
Azerbaijan,2016,Both Sexes,"Final figure, complete",9757800.0,5175700.0,0.5304166922871959
Azerbaijan,2017,Both Sexes,"Final figure, complete",9831990.5,5218400.0,0.5307572256096057
Azerbaijan,2018,Both Sexes,"Final figure, complete",9918942.5,5255900.0,0.5298851162812971
Azerbaijan,2019,Both Sexes,"Final figure, complete",9973216.666666666,5507936.333333333,0.5522728039933622
Azerbaijan,2020,Both Sexes,"Final figure, complete",10081504.0,5330800.0,0.5287703104616137
Azerbaijan,2021,Both Sexes,"Final figure, complete",10119133.0,,
Azerbaijan,2022,Both Sexes,"Final figure, complete",10156366.0,,
Bahamas,2016,Both Sexes,"Final figure, complete",373480.0,,
Bahamas,2016,Both Sexes,Provisional figure,373480.0,,
Bahamas,2017,Both Sexes,"Final figure, complete",377360.0,,
Bahamas,2018,Both Sexes,"Final figure, complete",381320.0,,
Bahamas,2019,Both Sexes,"Final figure, complete",385340.0,,
Bahamas,2020,Both Sexes,"Final figure, complete",389410.0,,
Bahrain,2016,Both Sexes,"Final figure, complete",1423726.0,,
Bahrain,2017,Both Sexes,"Final figure, complete",1501116.0,,
Bahrain,2018,Both Sexes,"Final figure, complete",1503091.0,,
Bahrain,2019,Both Sexes,"Final figure, complete",1483756.0,,
Bahrain,2020,Both Sexes,"Final figure, complete",1486919.5,,
Bangladesh,2016,Both Sexes,"Final figure, incomplete/questionable reliability",160800000.0,47400000.0,0.2947761194029851
Bangladesh,2017,Both Sexes,"Final figure, incomplete/questionable reliability",162700000.0,49216750.0,0.3025
Bangladesh,2018,Both Sexes,"Final figure, incomplete/questionable reliability",164600000.0,49791500.0,0.3025
Bangladesh,2019,Both Sexes,"Final figure, incomplete/questionable reliability",166500000.0,50366250.0,0.3025
Bangladesh,2020,Both Sexes,"Final figure, incomplete/questionable reliability",168220000.0,50886550.0,0.3025
Bangladesh,2021,Both Sexes,"Final figure, incomplete/questionable reliability",170260000.0,,
Bangladesh,2022,Both Sexes,"Final figure, complete",169828911.0,53761986.0,0.31656556992230844
Bangladesh,2022,Both Sexes,"Final figure, incomplete/questionable reliability",171730000.0,,
Barbados,2016,Both Sexes,"Final figure, complete",275400.0,,
Barbados,2017,Both Sexes,"Final figure, complete",274500.0,,
Barbados,2018,Both Sexes,"Final figure, complete",273500.0,,
Barbados,2019,Both Sexes,"Final figure, complete",272300.0,,
Barbados,2020,Both Sexes,"Final figure, complete",271000.0,,
Barbados,2021,Both Sexes,"Final figure, complete",269800.0,,
Belarus,2016,Both Sexes,"Final figure, complete",9483871.5,7276827.0,0.767284436529955
Belarus,2017,Both Sexes,"Final figure, complete",9481846.5,7343111.5,0.774438976627601
Belarus,2018,Both Sexes,"Final figure, complete",9465304.0,7350056.5,0.7765261950382154
Belarus,2019,Both Sexes,"Final figure, complete",9435907.25,7304445.666666667,0.7741116432303493
Belarus,2020,Both Sexes,"Final figure, complete",9410259.0,7303905.0,0.7761640779493955
Belarus,2021,Both Sexes,Provisional figure,9302600.0,,
Belarus,2022,Both Sexes,Provisional figure,9228100.0,,
Belgium,2016,Both Sexes,"Final figure, complete",11321269.5,,
Belgium,2017,Both Sexes,"Final figure, complete",11363442.5,,
Belgium,2018,Both Sexes,"Final figure, complete",11412821.5,,
Belgium,2019,Both Sexes,"Final figure, complete",11455519.0,,
Belgium,2020,Both Sexes,"Final figure, complete",11522440.0,,
Belgium,2021,Both Sexes,"Final figure, complete",11554767.0,,
Belgium,2022,Both Sexes,"Final figure, complete",11617623.0,,
Belize,2016,Both Sexes,"Final figure, incomplete/questionable reliability",377968.0,169597.82829052,0.4487094894025949
Belize,2017,Both Sexes,"Final figure, incomplete/questionable reliability",387879.0,173840.701823572,0.44818281428892
Belize,2018,Both Sexes,"Final figure, incomplete/questionable reliability",398050.0,178194.880685913,0.447669590970765
Belize,2019,Both Sexes,"Final figure, incomplete/questionable reliability",408487.0,182662.933462067,0.44716951448165304
Belize,2020,Both Sexes,"Final figure, incomplete/questionable reliability",419199.0,187249.0,0.4466828403693711
Belize,2021,Both Sexes,"Final figure, incomplete/questionable reliability",430191.0,191954.0,0.44620645248273444
Belize,2022,Both Sexes,"Final figure, incomplete/questionable reliability",441471.0,196783.298774766,0.4457445648179971
Benin,2016,Both Sexes,"Final figure, incomplete/questionable reliability",10882953.0,,
Benin,2017,Both Sexes,"Final figure, incomplete/questionable reliability",11186785.0,,
Benin,2018,Both Sexes,"Final figure, incomplete/questionable reliability",11496140.0,,
Benin,2019,Both Sexes,"Final figure, incomplete/questionable reliability",11857627.0,,
Bermuda,2016,Both Sexes,"Final figure, complete",63785.0,63779.0,0.9999059339970212
Bermuda,2017,Both Sexes,"Final figure, complete",63892.0,,
Bermuda,2018,Both Sexes,"Final figure, complete",63973.0,,
Bermuda,2019,Both Sexes,"Final figure, complete",64027.0,,
Bermuda,2020,Both Sexes,"Final figure, complete",64054.0,,
Bermuda,2021,Both Sexes,"Final figure, complete",64055.0,,
Bermuda,2022,Both Sexes,"Final figure, complete",64031.0,,
Bhutan,2016,Both Sexes,"Final figure, incomplete/questionable reliability",768577.0,,
Bhutan,2017,Both Sexes,"Final figure, complete",727145.0,274967.0,0.3781460368977302
Bhutan,2018,Both Sexes,"Final figure, incomplete/questionable reliability",734374.0,,
Bhutan,2019,Both Sexes,"Final figure, incomplete/questionable reliability",741672.0,,
Bhutan,2020,Both Sexes,"Final figure, incomplete/questionable reliability",748931.0,,
Bhutan,2021,Both Sexes,"Final figure, incomplete/questionable reliability",756129.0,,
Bhutan,2022,Both Sexes,"Final figure, incomplete/questionable reliability",763249.0,311994.0,0.4087709253467741
Bolivia (Plurinational State of),2016,Both Sexes,"Final figure, incomplete/questionable reliability",11000748.5,7562410.5,0.6874450861230034
Bolivia (Plurinational State of),2017,Both Sexes,"Final figure, incomplete/questionable reliability",11163815.5,7712374.5,0.690836793209275
Bolivia (Plurinational State of),2018,Both Sexes,"Final figure, incomplete/questionable reliability",11327277.5,7862633.5,0.6941326810436135
Bolivia (Plurinational State of),2019,Both Sexes,"Final figure, incomplete/questionable reliability",11491182.0,8013189.5,0.6973337903794405
Bolivia (Plurinational State of),2020,Both Sexes,"Final figure, incomplete/questionable reliability",11655388.5,8163919.0,0.7004416026115303
Bolivia (Plurinational State of),2021,Both Sexes,"Final figure, incomplete/questionable reliability",11841955.0,8330216.0,0.7034493882133482
Bolivia (Plurinational State of),2022,Both Sexes,"Final figure, incomplete/questionable reliability",12006031.0,8480480.0,0.7063516660918167
Bosnia and Herzegovina,2016,Both Sexes,"Final figure, complete",3511000.0,,
Bosnia and Herzegovina,2017,Both Sexes,"Final figure, complete",3509728.0,,
Bosnia and Herzegovina,2018,Both Sexes,"Final figure, complete",3500295.0,,
Bosnia and Herzegovina,2019,Both Sexes,Provisional figure,3492018.0,,
Botswana,2016,Both Sexes,"Final figure, incomplete/questionable reliability",2230905.0,1554836.0,0.6969530302724679
Botswana,2017,Both Sexes,"Final figure, incomplete/questionable reliability",2266857.0,1602216.0,0.7068006495336936
Botswana,2018,Both Sexes,"Final figure, incomplete/questionable reliability",2302878.0,,
Botswana,2019,Both Sexes,"Final figure, incomplete/questionable reliability",2338851.0,,
Botswana,2020,Both Sexes,"Final figure, incomplete/questionable reliability",2398678.0,,
Botswana,2021,Both Sexes,"Final figure, incomplete/questionable reliability",2444253.68355978,1565950.05411823,0.6406659278662108
Botswana,2022,Both Sexes,Provisional figure,2358613.0,1510774.0,0.6405349245509967
Brazil,2016,Both Sexes,"Final figure, incomplete/questionable reliability",205156587.0,177309126.186081,0.864262409405753
Brazil,2017,Both Sexes,"Final figure, incomplete/questionable reliability",206804741.0,179217278.630135,0.8666014026735248
Brazil,2018,Both Sexes,"Final figure, incomplete/questionable reliability",208494900.0,,
Brazil,2019,Both Sexes,"Final figure, incomplete/questionable reliability",210147125.0,,
Brazil,2020,Both Sexes,"Final figure, incomplete/questionable reliability",211755692.0,,
Brazil,2021,Both Sexes,"Final figure, incomplete/questionable reliability",213317639.0,,
Brazil,2022,Both Sexes,"Final figure, incomplete/questionable reliability",214828540.0,,
British Virgin Islands,2016,Both Sexes,"Final figure, complete",36092.0,,
British Virgin Islands,2017,Both Sexes,"Final figure, complete",32800.0,,
British Virgin Islands,2018,Both Sexes,"Final figure, complete",33789.0,,
British Virgin Islands,2019,Both Sexes,"Final figure, complete",36009.0,,
British Virgin Islands,2020,Both Sexes,"Final figure, complete",36521.0,,
British Virgin Islands,2021,Both Sexes,"Final figure, complete",37408.0,,
Brunei Darussalam,2016,Both Sexes,"Final figure, incomplete/questionable reliability",417256.0,312448.0,0.7488160745441648
Brunei Darussalam,2017,Both Sexes,"Final figure, incomplete/questionable reliability",426400.0,,
Brunei Darussalam,2018,Both Sexes,"Final figure, incomplete/questionable reliability",436600.0,,
Brunei Darussalam,2019,Both Sexes,"Final figure, incomplete/questionable reliability",451000.0,,
Brunei Darussalam,2020,Both Sexes,"Final figure, incomplete/questionable reliability",441800.0,,
Brunei Darussalam,2021,Both Sexes,"Final figure, complete",440715.0,329506.0,0.7476623214549085
Bulgaria,2016,Both Sexes,"Final figure, complete",7140803.0,5221483.0,0.7312179036447302
Bulgaria,2017,Both Sexes,"Final figure, complete",7088903.0,5198727.5,0.7333613536537318
Bulgaria,2018,Both Sexes,"Final figure, complete",7037535.25,5176098.5,0.7354987671287331
Bulgaria,2019,Both Sexes,"Final figure, complete",6987899.75,5150698.5,0.7370882073687448
Bulgaria,2020,Both Sexes,"Final figure, complete",6942748.5,5104851.75,0.7352782187054594
Bulgaria,2021,Both Sexes,"Final figure, complete",6897145.25,5032513.5,0.7296516627658378
Bulgaria,2022,Both Sexes,"Final figure, complete",6838937.0,,
Burkina Faso,2016,Both Sexes,"Final figure, incomplete/questionable reliability",19034397.0,,
Burkina Faso,2017,Both Sexes,"Final figure, incomplete/questionable reliability",19632147.0,,
Burkina Faso,2018,Both Sexes,"Final figure, incomplete/questionable reliability",20244080.0,,
Burkina Faso,2019,Both Sexes,"Final figure, complete",20505155.0,5360112.0,0.26140314472141274
Burkina Faso,2019,Both Sexes,"Final figure, incomplete/questionable reliability",20870060.0,,
Burkina Faso,2020,Both Sexes,"Final figure, incomplete/questionable reliability",20840928.0,5491909.0,0.2635155689804216
Burkina Faso,2021,Both Sexes,"Final figure, incomplete/questionable reliability",21509443.0,5613964.0,0.2609999710359771
Burkina Faso,2022,Both Sexes,"Final figure, incomplete/questionable reliability",22185654.0,5961237.0,0.2686978260816652
Burundi,2016,Both Sexes,"Final figure, incomplete/questionable reliability",11214638.0,,
Burundi,2017,Both Sexes,"Final figure, incomplete/questionable reliability",11495052.0,,
Burundi,2018,Both Sexes,"Final figure, incomplete/questionable reliability",11771937.0,,
Burundi,2019,Both Sexes,"Final figure, incomplete/questionable reliability",12043779.0,,
Burundi,2020,Both Sexes,"Final figure, incomplete/questionable reliability",12309214.0,,
Burundi,2021,Both Sexes,"Final figure, incomplete/questionable reliability",12574180.0,,
Burundi,2022,Both Sexes,"Final figure, incomplete/questionable reliability",12837353.0,,
Cabo Verde,2016,Both Sexes,"Final figure, incomplete/questionable reliability",531238.925128285,,
Cabo Verde,2017,Both Sexes,"Final figure, incomplete/questionable reliability",537661.0,,
Cabo Verde,2018,Both Sexes,"Final figure, incomplete/questionable reliability",544081.0,,
Cabo Verde,2019,Both Sexes,"Final figure, incomplete/questionable reliability",550483.0,,
Cabo Verde,2020,Both Sexes,"Final figure, incomplete/questionable reliability",556857.0,,
Cabo Verde,2021,Both Sexes,"Final figure, complete",491233.0,364106.0,0.7412083471590875
Cambodia,2016,Both Sexes,"Final figure, incomplete/questionable reliability",15626444.0,3670435.0,0.23488613276315456
Cambodia,2017,Both Sexes,"Final figure, incomplete/questionable reliability",15848495.0,3801180.0,0.23984485593111524
Cambodia,2018,Both Sexes,"Final figure, incomplete/questionable reliability",16069921.0,3932223.0,0.24469460677498042
Cambodia,2019,Both Sexes,"Final figure, complete",15552211.0,6135194.0,0.39449014677077104
Cambodia,2019,Both Sexes,"Final figure, incomplete/questionable reliability",16078666.0,6341494.8618974,0.39440429087197904
Cambodia,2020,Both Sexes,"Final figure, incomplete/questionable reliability",16338087.0,6395259.08528878,0.3914325517601161
Cambodia,2021,Both Sexes,"Final figure, incomplete/questionable reliability",16592089.0,6518230.26167874,0.39285169345937937
Cambodia,2022,Both Sexes,"Final figure, incomplete/questionable reliability",16843333.0,6600206.05210764,0.39185866907147415
Cameroon,2016,Both Sexes,"Final figure, incomplete/questionable reliability",23642400.0,,
Cameroon,2017,Both Sexes,"Final figure, incomplete/questionable reliability",24253757.0,,
Cameroon,2018,Both Sexes,"Final figure, incomplete/questionable reliability",24863335.0,,
Cameroon,2019,Both Sexes,"Final figure, incomplete/questionable reliability",25492354.0,,
Cameroon,2020,Both Sexes,"Final figure, incomplete/questionable reliability",26133035.0,,
Cameroon,2021,Both Sexes,"Final figure, incomplete/questionable reliability",26765521.0,,
Cameroon,2022,Both Sexes,"Final figure, incomplete/questionable reliability",27419137.0,,
Canada,2016,Both Sexes,"Final figure, complete",35630608.5,28575665.0,0.801997670065051
Canada,2017,Both Sexes,"Final figure, complete",36545236.0,,
Canada,2018,Both Sexes,"Final figure, complete",37065084.0,,
Canada,2019,Both Sexes,"Final figure, complete",37601230.0,,
Canada,2020,Both Sexes,"Final figure, complete",38007166.0,,
Canada,2021,Both Sexes,"Final figure, complete",37609239.0,30389510.0,0.8080331005899907
Canada,2022,Both Sexes,"Final figure, complete",38929902.0,,
Cayman Islands,2016,Both Sexes,"Final figure, complete",61346.0,61361.0,1.000244514719786
Cayman Islands,2017,Both Sexes,"Final figure, complete",63265.0,63415.0,1.0023709792144155
Cayman Islands,2018,Both Sexes,"Final figure, complete",65116.5,65813.0,1.010696213709275
Cayman Islands,2019,Both Sexes,"Final figure, complete",68081.0,69914.0,1.0269238113423715
Cayman Islands,2020,Both Sexes,"Final figure, complete",65372.0,,
Cayman Islands,2021,Both Sexes,"Final figure, complete",71105.0,,
Chad,2016,Both Sexes,"Final figure, incomplete/questionable reliability",14152314.0,3363534.0,0.2376667165525016
Chad,2017,Both Sexes,"Final figure, incomplete/questionable reliability",14649076.0,3520661.0,0.24033331522070062
Chad,2018,Both Sexes,"Final figure, incomplete/questionable reliability",15162044.0,3684377.0,0.2430000203138838
Chad,2019,Both Sexes,"Final figure, incomplete/questionable reliability",15692969.0,3855240.0,0.24566670589867348
Chile,2016,Both Sexes,"Final figure, complete",18167147.0,15983549.0,0.8798051229507858
Chile,2017,Both Sexes,"Final figure, complete",17996597.5,15824861.5,0.8793251891086634
Chile,2018,Both Sexes,"Final figure, complete",18751405.0,16543423.0,0.8822497834162294
Chile,2019,Both Sexes,"Final figure, complete",19107216.0,16883696.0,0.8836293052844538
Chile,2020,Both Sexes,"Final figure, complete",19458310.0,17219249.0,0.8849303459550187
Chile,2021,Both Sexes,"Final figure, complete",19678363.0,17430714.0,0.8857806922252628
Chile,2022,Both Sexes,"Final figure, complete",19828563.0,17575834.0,0.8863896995460538
China,2016,Both Sexes,"Final figure, incomplete/questionable reliability",1392320000.0,819241088.0,0.5884
China,2017,Both Sexes,"Final figure, incomplete/questionable reliability",1400110000.0,843426264.0,0.6024
China,2018,Both Sexes,"Final figure, incomplete/questionable reliability",1405410000.0,864327149.999999,0.6149999999999993
China,2019,Both Sexes,"Final figure, incomplete/questionable reliability",1410080000.0,884261167.999999,0.6270999999999993
China,2020,Both Sexes,"Final figure, incomplete/questionable reliability",1412120000.0,902200000.0,0.6388975441180637
China,2020,Both Sexes,Provisional figure,1411778724.0,,
China,2021,Both Sexes,"Final figure, incomplete/questionable reliability",1412600000.0,914250000.0,0.6472108169333145
China,2022,Both Sexes,"Final figure, incomplete/questionable reliability",1411750000.0,920710000.0,0.6521763768372587
"China, Hong Kong SAR",2016,Both Sexes,"Final figure, complete",7336592.5,,
"China, Hong Kong SAR",2017,Both Sexes,"Final figure, complete",7393200.0,,
"China, Hong Kong SAR",2018,Both Sexes,"Final figure, complete",7452600.0,,
"China, Hong Kong SAR",2019,Both Sexes,"Final figure, complete",7507900.0,,
"China, Hong Kong SAR",2020,Both Sexes,"Final figure, complete",7481000.0,,
"China, Hong Kong SAR",2021,Both Sexes,"Final figure, complete",7413085.0,,
"China, Hong Kong SAR",2022,Both Sexes,"Final figure, complete",7346100.0,,
"China, Macao SAR",2016,Both Sexes,"Final figure, complete",651667.0,,
"China, Macao SAR",2017,Both Sexes,"Final figure, complete",648400.0,,
"China, Macao SAR",2018,Both Sexes,"Final figure, complete",658900.0,,
"China, Macao SAR",2019,Both Sexes,"Final figure, complete",672000.0,,
"China, Macao SAR",2020,Both Sexes,"Final figure, complete",685400.0,,
"China, Macao SAR",2021,Both Sexes,"Final figure, complete",682500.0,,
"China, Macao SAR",2022,Both Sexes,"Final figure, complete",677300.0,,
Colombia,2016,Both Sexes,"Final figure, incomplete/questionable reliability",46830116.0,35273507.0,0.7532227124955232
Colombia,2017,Both Sexes,"Final figure, incomplete/questionable reliability",47419200.0,35749834.0,0.7539105256942336
Colombia,2018,Both Sexes,"Final figure, complete",44164417.0,34107027.0,0.7722739100122163
Colombia,2018,Both Sexes,"Final figure, incomplete/questionable reliability",48258494.0,36424653.0,0.7547822151267298
Colombia,2019,Both Sexes,"Final figure, incomplete/questionable reliability",49395678.0,37425856.0,0.7576747099209773
Colombia,2020,Both Sexes,"Final figure, incomplete/questionable reliability",50407647.0,38235229.0,0.7585204086197477
Colombia,2021,Both Sexes,"Final figure, incomplete/questionable reliability",51117378.0,38850492.0,0.7600251327444847
Colombia,2022,Both Sexes,"Final figure, incomplete/questionable reliability",51682692.0,39319031.0,0.7607775345757918
Congo,2016,Both Sexes,"Final figure, incomplete/questionable reliability",4934312.0,2764263.0,0.5602124470442891
Congo,2017,Both Sexes,"Final figure, incomplete/questionable reliability",5069800.0,2839087.0,0.5599998027535603
Congo,2018,Both Sexes,"Final figure, incomplete/questionable reliability",5203073.0,2913720.0,0.5599998308691806
Congo,2019,Both Sexes,"Final figure, incomplete/questionable reliability",5336074.0,3298418.4586771,0.6181358164592733
Congo,2020,Both Sexes,"Final figure, incomplete/questionable reliability",5468622.0,3380351.12487715,0.6181358164592744
Congo,2021,Both Sexes,"Final figure, incomplete/questionable reliability",5600575.0,3461155.35,0.618
Cook Islands,2016,Both Sexes,"Final figure, complete",15758.0,,
Cook Islands,2016,Both Sexes,Provisional figure,19300.0,,
Cook Islands,2017,Both Sexes,Provisional figure,19500.0,,
Cook Islands,2018,Both Sexes,Provisional figure,18600.0,,
Cook Islands,2019,Both Sexes,Provisional figure,20200.0,,
Costa Rica,2016,Both Sexes,"Final figure, complete",4889762.0,3551728.0,0.7263600968717905
Costa Rica,2017,Both Sexes,"Final figure, complete",4946700.0,3592070.0,0.7261548102775588
Costa Rica,2018,Both Sexes,"Final figure, complete",5003673.0,3630938.0,0.725654534179192
Costa Rica,2019,Both Sexes,"Final figure, complete",5059730.0,3670174.0,0.7253695355285756
Costa Rica,2020,Both Sexes,"Final figure, complete",5111405.0,3706910.0,0.7252232996602695
Costa Rica,2021,Both Sexes,"Final figure, complete",5163413.0,3743171.0,0.724941235574222
Costa Rica,2022,Both Sexes,"Final figure, complete",5213480.0,3777085.0,0.7244844134819737
Croatia,2016,Both Sexes,"Final figure, complete",4182509.0,,
Croatia,2017,Both Sexes,"Final figure, complete",4139372.0,,
Croatia,2018,Both Sexes,"Final figure, complete",4096668.0,,
Croatia,2019,Both Sexes,"Final figure, complete",4070749.5,,
Croatia,2020,Both Sexes,"Final figure, complete",4052922.5,,
Croatia,2021,Both Sexes,"Final figure, complete",3957668.0,,
Croatia,2022,Both Sexes,"Final figure, complete",3862305.0,,
Cuba,2016,Both Sexes,"Final figure, complete",11239114.0,8644181.0,0.7691158751481656
Cuba,2017,Both Sexes,"Final figure, complete",11230142.0,8642753.5,0.7696032249636736
Cuba,2018,Both Sexes,"Final figure, complete",11215344.0,8637568.0,0.7701563144206722
Cuba,2019,Both Sexes,"Final figure, complete",11201549.0,8633349.5,0.770728182325498
Cuba,2020,Both Sexes,"Final figure, complete",11187532.5,8626486.0,0.7710803074762017
Cuba,2021,Both Sexes,"Final figure, complete",11147405.0,8594512.0,0.7709876872689204
Cuba,2022,Both Sexes,"Final figure, complete",11101363.0,8559773.0,0.7710560405960962
Curaçao,2016,Both Sexes,"Final figure, complete",159663.0,,
Curaçao,2017,Both Sexes,"Final figure, complete",160256.5,,
Curaçao,2018,Both Sexes,"Final figure, complete",159673.75,,
Curaçao,2019,Both Sexes,"Final figure, complete",158050.0,,
Curaçao,2020,Both Sexes,"Final figure, complete",155585.0,,
Curaçao,2021,Both Sexes,Provisional figure,153019.75,,
Curaçao,2022,Both Sexes,Provisional figure,151066.0,,
Cyprus,2016,Both Sexes,"Final figure, incomplete/questionable reliability",849959.5,,
Cyprus,2017,Both Sexes,"Final figure, incomplete/questionable reliability",857160.5,,
Cyprus,2018,Both Sexes,"Final figure, incomplete/questionable reliability",867151.75,,
Cyprus,2019,Both Sexes,"Final figure, incomplete/questionable reliability",875899.0,,
Cyprus,2020,Both Sexes,"Final figure, incomplete/questionable reliability",888005.0,,
Cyprus,2021,Both Sexes,"Final figure, incomplete/questionable reliability",896007.0,,
